Symbol,Price,Type,Time
DOLF20,4066.0,BID,09:03:04.161214
DOLF20,4065.0,BID,09:03:04.162023
DOLF20,4065.0,ASK,09:03:08.174026
DOLF20,4066.0,ASK,09:03:08.175023
DOLF20,4065.0,ASK,09:03:08.180803
DOLF20,4066.0,ASK,09:03:08.180938
DOLF20,4065.0,ASK,09:03:08.183303
DOLF20,4066.0,ASK,09:03:08.183533
DOLF20,4066.0,BID,09:03:11.71871
DOLF20,4065.0,BID,09:03:11.72393
DOLF20,4065.0,ASK,09:03:12.55504
DOLF20,4066.0,ASK,09:03:12.55828
DOLF20,4066.0,BID,09:03:13.364815
DOLF20,4065.0,BID,09:03:13.365189
DOLF20,4066.0,BID,09:03:14.239799
DOLF20,4065.0,BID,09:03:14.240161
DOLF20,4066.0,BID,09:03:14.242840
DOLF20,4065.0,BID,09:03:14.243217
DOLF20,4066.0,BID,09:03:14.244816
DOLF20,4065.0,BID,09:03:14.245038
DOLF20,4066.0,BID,09:03:14.248826
DOLF20,4065.0,BID,09:03:14.249200
DOLF20,4065.0,ASK,09:03:16.171878
DOLF20,4066.0,ASK,09:03:16.434422
DOLF20,4065.0,ASK,09:03:19.501055
DOLF20,4066.0,ASK,09:03:19.501915
DOLF20,4065.0,ASK,09:03:20.637555
DOLF20,4066.0,ASK,09:03:20.637825
DOLF20,4035.0,ASK,09:03:20.943478
DOLF20,4066.0,ASK,09:03:20.943746
DOLF20,4065.0,ASK,09:03:20.945506
DOLF20,4066.0,ASK,09:03:20.945864
DOLF20,4065.0,ASK,09:03:23.702223
DOLF20,4066.0,ASK,09:03:23.702596
DOLF20,4071.0,BID,09:03:24.841325
DOLF20,4065.0,BID,09:03:24.841597
DOLF20,4066.0,BID,09:03:25.747010
DOLF20,4065.0,BID,09:03:25.747289
DOLF20,4065.0,ASK,09:03:26.973347
DOLF20,4066.0,ASK,09:03:26.973610
DOLF20,4065.0,ASK,09:03:26.974469
DOLF20,4066.0,ASK,09:03:26.974701
DOLF20,4065.0,ASK,09:03:26.975498
DOLF20,4066.0,ASK,09:03:26.975771
DOLF20,4065.0,ASK,09:03:27.476293
DOLF20,4066.0,ASK,09:03:27.476563
DOLF20,4066.0,BID,09:03:28.959799
DOLF20,4065.0,BID,09:03:29.172388
DOLF20,4066.0,BID,09:03:29.179625
DOLF20,4065.0,BID,09:03:29.179896
DOLF20,4066.0,BID,09:03:30.145270
DOLF20,4065.0,BID,09:03:30.145634
DOLF20,4066.0,BID,09:03:30.266167
DOLF20,4065.0,BID,09:03:30.266434
DOLF20,4066.0,BID,09:03:30.268909
DOLF20,4065.0,BID,09:03:30.269120
DOLF20,4066.0,BID,09:03:32.91503
DOLF20,4065.0,BID,09:03:32.91757
DOLF20,4066.0,BID,09:03:32.92499
DOLF20,4065.0,BID,09:03:32.92730
DOLF20,4096.0,BID,09:03:32.244510
DOLF20,4065.0,BID,09:03:32.244668
DOLF20,4066.0,BID,09:03:33.842004
DOLF20,4065.0,BID,09:03:33.947109
DOLF20,4066.0,BID,09:03:34.148529
DOLF20,4065.0,BID,09:03:34.148953
DOLF20,4066.0,BID,09:03:34.253659
DOLF20,4065.0,BID,09:03:34.253889
DOLF20,4066.0,BID,09:03:34.254503
DOLF20,4065.0,BID,09:03:34.255524
DOLF20,4066.0,BID,09:03:34.259429
DOLF20,4065.0,BID,09:03:34.259660
DOLF20,4066.0,BID,09:03:34.260610
DOLF20,4065.0,BID,09:03:34.260838
DOLF20,4066.0,BID,09:03:35.74506
DOLF20,4065.0,BID,09:03:35.74735
DOLF20,4066.0,BID,09:03:35.74517
DOLF20,4067.0,ASK,09:03:35.74744
DOLF20,4065.0,BID,09:03:35.74781
DOLF20,4066.0,ASK,09:03:35.268995
DOLF20,4066.0,BID,09:03:35.271799
DOLF20,4065.0,BID,09:03:35.271935
DOLF20,4067.0,BID,09:03:36.486099
DOLF20,4065.0,BID,09:03:36.486237
DOLF20,4066.0,BID,09:03:36.846199
DOLF20,4067.0,ASK,09:03:36.846427
DOLF20,4065.0,BID,09:03:36.846463
DOLF20,4066.0,BID,09:03:36.854540
DOLF20,4066.0,ASK,09:03:38.337519
DOLF20,4067.0,ASK,09:03:38.337755
DOLF20,4066.0,ASK,09:03:38.338712
DOLF20,4067.0,ASK,09:03:38.338942
DOLF20,4066.0,ASK,09:03:39.523646
DOLF20,4067.0,ASK,09:03:39.523889
DOLF20,4066.0,ASK,09:03:39.531457
DOLF20,4065.0,BID,09:03:39.532191
DOLF20,4066.0,BID,09:03:40.924208
DOLF20,4065.0,BID,09:03:40.924345
DOLF20,4066.0,BID,09:03:41.116578
DOLF20,4065.0,BID,09:03:41.116808
DOLF20,4066.0,BID,09:03:41.117759
DOLF20,4067.0,ASK,09:03:41.117989
DOLF20,4065.0,BID,09:03:41.118026
DOLF20,4066.0,BID,09:03:41.120089
DOLF20,4066.0,ASK,09:03:41.120859
DOLF20,4067.0,ASK,09:03:41.120990
DOLF20,4066.0,ASK,09:03:42.150888
DOLF20,4067.0,ASK,09:03:42.151121
DOLF20,4065.0,BID,09:03:42.151159
DOLF20,4066.0,ASK,09:03:42.151761
DOLF20,4066.0,BID,09:03:43.412740
DOLF20,4065.0,BID,09:03:43.413168
DOLF20,4066.0,BID,09:03:43.415016
DOLF20,4065.0,BID,09:03:43.415250
DOLF20,4066.0,BID,09:03:43.416196
DOLF20,4067.0,ASK,09:03:43.416333
DOLF20,4066.0,ASK,09:03:43.418059
DOLF20,4067.0,ASK,09:03:43.418295
DOLF20,4066.0,ASK,09:03:46.109442
DOLF20,4067.0,ASK,09:03:46.109693
DOLF20,4066.0,ASK,09:03:46.845259
DOLF20,4067.0,ASK,09:03:46.845503
DOLF20,4066.0,ASK,09:03:46.847328
DOLF20,4067.0,ASK,09:03:46.847566
DOLF20,4067.0,BID,09:03:48.704996
DOLF20,4066.0,BID,09:03:48.823268
DOLF20,4067.0,BID,09:03:49.283145
DOLF20,4066.0,BID,09:03:49.283327
DOLF20,4067.0,BID,09:03:49.290623
DOLF20,4066.0,BID,09:03:49.291051
DOLF20,4067.0,BID,09:03:49.291983
DOLF20,4066.0,BID,09:03:49.292219
DOLF20,4067.0,BID,09:03:49.293552
DOLF20,4066.0,BID,09:03:49.293694
DOLF20,4067.0,BID,09:03:49.299027
DOLF20,4066.0,BID,09:03:49.299732
DOLF20,4067.0,BID,09:03:49.300995
DOLF20,4066.0,BID,09:03:49.301140
DOLF20,4067.0,BID,09:03:49.306851
DOLF20,4066.0,BID,09:03:49.307094
DOLF20,4067.0,BID,09:03:51.814616
DOLF20,4066.0,BID,09:03:51.814944
DOLF20,4067.0,BID,09:03:52.144503
DOLF20,4066.0,BID,09:03:52.144648
DOLF20,4067.0,BID,09:03:52.144513
DOLF20,4066.0,BID,09:03:52.144748
DOLF20,4067.0,BID,09:03:52.144515
DOLF20,4066.0,BID,09:03:52.144751
DOLF20,4067.0,BID,09:03:52.146522
DOLF20,4066.0,BID,09:03:52.146758
DOLF20,4067.0,BID,09:03:52.148651
DOLF20,4066.0,BID,09:03:52.149163
DOLF20,4067.0,BID,09:03:52.153452
DOLF20,4066.0,BID,09:03:52.153783
DOLF20,4067.0,BID,09:03:52.154501
DOLF20,4066.0,BID,09:03:52.154646
DOLF20,4067.0,BID,09:03:52.157500
DOLF20,4066.0,BID,09:03:52.157735
DOLF20,4067.0,BID,09:03:52.314505
DOLF20,4066.0,BID,09:03:52.314649
DOLF20,4067.0,BID,09:03:52.400503
DOLF20,4066.0,BID,09:03:52.400647
DOLF20,4067.0,BID,09:03:52.402505
DOLF20,4066.0,BID,09:03:52.402652
DOLF20,4067.0,BID,09:03:52.447497
DOLF20,4068.0,ASK,09:03:52.447730
DOLF20,4066.0,BID,09:03:52.447769
DOLF20,4082.0,BID,09:03:52.544709
DOLF20,4066.0,BID,09:03:52.544944
DOLF20,4073.0,BID,09:03:52.691604
DOLF20,4066.0,BID,09:03:52.691931
DOLF20,4067.0,BID,09:03:52.881496
DOLF20,4067.0,ASK,09:03:53.174417
DOLF20,4068.0,ASK,09:03:53.174761
DOLF20,4067.0,ASK,09:03:54.44223
DOLF20,4068.0,ASK,09:03:54.44459
DOLF20,4067.0,ASK,09:03:54.48368
DOLF20,4068.0,ASK,09:03:54.48709
DOLF20,4067.0,ASK,09:03:54.50357
DOLF20,4068.0,ASK,09:03:54.50594
DOLF20,4067.0,ASK,09:03:54.721756
DOLF20,4068.0,ASK,09:03:54.721993
DOLF20,4066.0,BID,09:03:54.722033
